# 
# Spectrum #00030	11:09:44 AM 5/15/2026
# Narrow scan: start 776.64nm, end 779.14nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 100um, exit 100um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
776.64               0.054205
776.664045           0.054584
776.688091           0.0545
776.712136           0.05462
776.73618            0.055347
776.760225           0.055827
776.78427            0.055999
776.808314           0.055655
776.832359           0.05474
776.856403           0.055399
776.880447           0.055503
776.904491           0.054691
776.928535           0.055139
776.952579           0.054711
776.976622           0.054653
777.000666           0.054808
777.024709           0.055869
777.048752           0.05474
777.072795           0.055068
777.096838           0.055136
777.120881           0.05461
777.144924           0.055353
777.168966           0.055425
777.193009           0.055957
777.217051           0.05635
777.241093           0.057394
777.265135           0.057553
777.289177           0.058163
777.313219           0.059088
777.33726            0.059335
777.361302           0.06109
777.385343           0.068212
777.409384           0.091665
777.433425           0.158605
777.457466           0.31883
777.481507           0.580075
777.505548           0.998148
777.529588           1.526942
777.553629           2.184472
777.577669           2.960133
777.601709           3.695991
777.625749           4.267934
777.649789           4.59663
777.673829           4.627105
777.697868           4.409995
777.721908           4.096212
777.745947           3.782308
777.769986           3.553588
777.794025           3.498152
777.818064           3.618334
777.842103           3.839039
777.866142           4.062745
777.89018            4.218088
777.914219           4.281685
777.938257           4.192902
777.962295           3.932209
777.986333           3.559844
778.010371           3.081733
778.034409           2.599738
778.058446           2.143059
778.082484           1.673894
778.106521           1.243049
778.130558           0.865045
778.154595           0.576165
778.178632           0.376473
778.202669           0.246025
778.226706           0.166561
778.250742           0.120219
778.274779           0.094699
778.298815           0.080377
778.322851           0.072538
778.346887           0.067093
778.370923           0.063533
778.394959           0.061389
778.418994           0.059649
778.44303            0.05925
778.467065           0.05853
778.4911             0.057278
778.515135           0.056632
778.53917            0.057024
778.563205           0.056045
778.58724            0.05597
778.611274           0.055412
778.635309           0.055253
778.659343           0.055065
778.683377           0.054841
778.707411           0.055201
778.731445           0.055629
778.755478           0.054971
778.779512           0.054338
778.803546           0.054753
778.827579           0.053815
778.851612           0.053338
778.875645           0.05351
778.899678           0.053566
778.923711           0.053017
778.947744           0.053144
778.971776           0.052595
778.995808           0.052255
779.019841           0.051979
779.043873           0.051641
779.067905           0.052368
779.091937           0.053351
779.115968           0.052761
779.14               0.052985
