# 
# Spectrum #00027	11:05:50 AM 5/15/2026
# Narrow scan: start 819.75nm, end 822.25nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 100um, exit 100um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
819.75               2.128198
819.773592           2.14203
819.797184           2.122847
819.820776           2.135067
819.844368           2.138237
819.86796            2.13654
819.891552           2.129752
819.915143           2.122111
819.938734           2.133276
819.962326           2.134185
819.985917           2.144613
820.009507           2.177174
820.033098           2.163884
820.056689           2.129963
820.080279           2.140564
820.10387            2.118999
820.12746            2.143231
820.15105            2.158981
820.17464            2.146151
820.198229           2.139522
820.221819           2.146031
820.245409           2.111101
820.268998           2.11346
820.292587           2.153913
820.316176           2.175195
820.339765           2.174708
820.363354           2.208827
820.386942           2.243877
820.410531           2.335898
820.434119           2.506254
820.457708           2.721193
820.481296           3.093281
820.504884           3.543572
820.528471           4.016186
820.552059           4.466636
820.575646           4.86184
820.599234           5.019581
820.622821           5.000508
820.646408           4.842018
820.669995           4.520774
820.693582           4.161931
820.717169           3.901721
820.740755           3.674241
820.764341           3.572554
820.787928           3.601173
820.811514           3.641258
820.8351             3.568745
820.858686           3.411838
820.882271           3.216254
820.905857           3.046424
820.929442           2.779403
820.953027           2.566736
820.976613           2.473115
821.000198           2.338413
821.023782           2.271876
821.047367           2.249967
821.070952           2.209434
821.094536           2.223655
821.11812            2.20198
821.141704           2.219421
821.165288           2.212993
821.188872           2.209385
821.212456           2.183764
821.23604            2.163293
821.259623           2.216137
821.283206           2.221455
821.306789           2.215232
821.330372           2.18429
821.353955           2.154734
821.377538           2.161638
821.401121           2.161379
821.424703           2.18464
821.448285           2.181289
821.471868           2.20674
821.49545            2.224265
821.519031           2.201562
821.542613           2.173083
821.566195           2.195773
821.589776           2.198032
821.613358           2.191487
821.636939           2.171318
821.66052            2.172599
821.684101           2.159367
821.707681           2.145087
821.731262           2.148221
821.754843           2.15571
821.778423           2.12691
821.802003           2.139769
821.825583           2.136952
821.849163           2.149516
821.872743           2.163014
821.896322           2.192743
821.919902           2.13619
821.943481           2.156849
821.967061           2.164354
821.99064            2.130366
822.014218           2.131472
822.037797           2.134256
822.061376           2.123243
822.084954           2.145467
822.108533           2.114534
822.132111           2.082505
822.155689           2.093729
822.179267           2.070393
822.202845           2.06575
822.226422           2.096302
822.25               2.102526
