# 
# Spectrum #00010	9:42:53 AM 5/15/2026
# Narrow scan: start 403.77nm, end 406.27nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
403.77               0.016043
403.796319           0.015842
403.822638           0.015518
403.848957           0.016076
403.875276           0.016306
403.901595           0.015965
403.927913           0.015621
403.954232           0.015732
403.98055            0.015758
404.006869           0.016361
404.033187           0.015855
404.059506           0.015943
404.085824           0.016423
404.112142           0.017211
404.13846            0.016832
404.164778           0.016955
404.191096           0.016793
404.217414           0.016682
404.243732           0.017069
404.27005            0.01653
404.296368           0.016173
404.322685           0.016962
404.349003           0.016725
404.375321           0.017782
404.401638           0.017588
404.427955           0.017075
404.454273           0.017909
404.48059            0.017941
404.506907           0.018117
404.533224           0.018418
404.559541           0.018516
404.585858           0.019032
404.612175           0.018733
404.638492           0.019979
404.664809           0.020515
404.691125           0.021043
404.717442           0.021355
404.743759           0.021741
404.770075           0.021696
404.796392           0.023156
404.822708           0.024301
404.849024           0.024778
404.87534            0.025615
404.901657           0.027844
404.927973           0.0301
404.954289           0.034493
404.980605           0.039886
405.00692            0.044493
405.033236           0.086905
405.059552           0.271003
405.085868           0.68772
405.112183           1.637611
405.138499           3.771746
405.164814           6.068843
405.191129           8.038309
405.217445           8.538401
405.24376            8.207504
405.270075           6.519397
405.29639            3.932812
405.322705           1.892801
405.34902            0.823905
405.375335           0.349406
405.40165            0.126887
405.427965           0.075419
405.454279           0.054354
405.480594           0.046193
405.506909           0.040765
405.533223           0.034662
405.559537           0.029739
405.585852           0.027883
405.612166           0.025187
405.63848            0.023237
405.664794           0.021744
405.691108           0.021335
405.717422           0.019453
405.743736           0.019424
405.77005            0.019061
405.796364           0.018227
405.822678           0.017928
405.848991           0.017662
405.875305           0.017198
405.901618           0.017458
405.927932           0.017286
405.954245           0.01666
405.980558           0.016504
406.006872           0.016199
406.033185           0.016712
406.059498           0.0164
406.085811           0.0159
406.112124           0.015969
406.138437           0.015612
406.164749           0.015274
406.191062           0.01578
406.217375           0.015563
406.243687           0.015719
406.27               0.015466
