# 
# Spectrum #00005	8:36:47 AM 5/15/2026
# Narrow scan: start 545nm, end 547.5nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
545                  0.000537
545.008563           0.000553
545.017126           0.000569
545.025689           0.000488
545.034253           0.000582
545.042816           0.000566
545.051379           0.000595
545.059942           0.000589
545.068505           0.000582
545.077068           0.000614
545.085631           0.000595
545.094194           0.000553
545.102757           0.000592
545.11132            0.000634
545.119883           0.000595
545.128446           0.000566
545.137009           0.000504
545.145572           0.000663
545.154135           0.000546
545.162698           0.000702
545.171261           0.000666
545.179824           0.000657
545.188387           0.000647
545.19695            0.00067
545.205513           0.000683
545.214076           0.000715
545.222639           0.000637
545.231202           0.000673
545.239764           0.000627
545.248327           0.000624
545.25689            0.000663
545.265453           0.000689
545.274016           0.000608
545.282579           0.000676
545.291141           0.000744
545.299704           0.000705
545.308267           0.000692
545.31683            0.00065
545.325393           0.000689
545.333955           0.000679
545.342518           0.000627
545.351081           0.000692
545.359644           0.000715
545.368206           0.000748
545.376769           0.000705
545.385332           0.000702
545.393894           0.000803
545.402457           0.000728
545.41102            0.000812
545.419582           0.000686
545.428145           0.000809
545.436708           0.000842
545.44527            0.000754
545.453833           0.00089
545.462396           0.000812
545.470958           0.00079
545.479521           0.000842
545.488083           0.000825
545.496646           0.000809
545.505208           0.000842
545.513771           0.000842
545.522334           0.000835
545.530896           0.000906
545.539459           0.000773
545.548021           0.000819
545.556584           0.000887
545.565146           0.000897
545.573708           0.000858
545.582271           0.000845
545.590833           0.000881
545.599396           0.000939
545.607958           0.000923
545.616521           0.000881
545.625083           0.000923
545.633645           0.000884
545.642208           0.000968
545.65077            0.000845
545.659333           0.000923
545.667895           0.000835
545.676457           0.000945
545.68502            0.00091
545.693582           0.001001
545.702144           0.00091
545.710707           0.000991
545.719269           0.001001
545.727831           0.00101
545.736393           0.001001
545.744956           0.001056
545.753518           0.001001
545.76208            0.001095
545.770642           0.001121
545.779205           0.001104
545.787767           0.001017
545.796329           0.000952
545.804891           0.001082
545.813453           0.001072
545.822016           0.001104
545.830578           0.001104
545.83914            0.001114
545.847702           0.001263
545.856264           0.001163
545.864826           0.001205
545.873388           0.001156
545.881951           0.001218
545.890513           0.001289
545.899075           0.001361
545.907637           0.001289
545.916199           0.001396
545.924761           0.001302
545.933323           0.001328
545.941885           0.001358
545.950447           0.001406
545.959009           0.001338
545.967571           0.001426
545.976133           0.001358
545.984695           0.001413
545.993257           0.001471
546.001819           0.001471
546.010381           0.001497
546.018943           0.001504
546.027505           0.001572
546.036066           0.001507
546.044628           0.001555
546.05319            0.001627
546.061752           0.001753
546.070314           0.001701
546.078876           0.001783
546.087438           0.001851
546.096              0.001864
546.104561           0.001844
546.113123           0.002023
546.121685           0.001948
546.130247           0.001951
546.138809           0.002133
546.14737            0.002071
546.155932           0.002149
546.164494           0.002191
546.173056           0.002324
546.181617           0.002289
546.190179           0.002448
546.198741           0.002419
546.207302           0.002548
546.215864           0.002597
546.224426           0.002642
546.232988           0.002652
546.241549           0.002753
546.250111           0.002759
546.258672           0.002837
546.267234           0.002831
546.275796           0.002847
546.284357           0.00287
546.292919           0.00309
546.301481           0.003123
546.310042           0.003207
546.318604           0.003285
546.327165           0.003402
546.335727           0.003629
546.344288           0.003953
546.35285            0.004317
546.361411           0.004813
546.369973           0.004969
546.378534           0.005718
546.387096           0.006299
546.395657           0.006815
546.404219           0.007104
546.41278            0.00773
546.421342           0.007987
546.429903           0.008311
546.438465           0.008574
546.447026           0.008911
546.455587           0.009262
546.464149           0.009437
546.47271            0.009823
546.481271           0.010511
546.489833           0.011449
546.498394           0.014262
546.506955           0.014518
546.515517           0.021141
546.524078           0.034636
546.532639           0.060642
546.541201           0.112652
546.549762           0.152732
546.558323           0.233993
546.566885           0.319489
546.575446           0.419398
546.584007           0.619995
546.592568           0.780987
546.60113            0.947871
546.609691           1.16403
546.618252           1.456521
546.626813           1.644201
546.635374           1.964825
546.643935           1.98747
546.652497           2.299683
546.661058           2.421381
546.669619           2.495212
546.67818            2.582038
546.686741           2.616267
546.695302           2.625489
546.703863           2.600971
546.712424           2.573261
546.720986           2.498142
546.729547           2.382285
546.738108           2.293187
546.746669           2.152573
546.75523            1.954033
546.763791           1.747835
546.772352           1.47305
546.780913           1.467229
546.789474           1.171496
546.798035           0.934824
546.806596           0.777317
546.815157           0.619882
546.823718           0.546829
546.832279           0.413808
546.84084            0.331569
546.8494             0.251262
546.857961           0.167992
546.866522           0.117539
546.875083           0.084443
546.883644           0.066204
546.892205           0.046203
546.900766           0.035414
546.909327           0.027179
546.917887           0.026514
546.926448           0.022254
546.935009           0.019697
546.94357            0.018467
546.952131           0.017075
546.960691           0.016556
546.969252           0.015745
546.977813           0.015102
546.986374           0.014388
546.994935           0.013701
547.003495           0.013168
547.012056           0.012532
547.020617           0.011676
547.029177           0.011416
547.037738           0.010891
547.046299           0.009963
547.054859           0.009917
547.06342            0.00922
547.071981           0.008496
547.080541           0.008171
547.089102           0.007879
547.097663           0.007516
547.106223           0.007282
547.114784           0.007088
547.123344           0.006909
547.131905           0.006341
547.140466           0.006273
547.149026           0.00577
547.157587           0.00542
547.166147           0.00516
547.174708           0.0048
547.183268           0.004534
547.191829           0.004641
547.200389           0.004372
547.20895            0.004031
547.21751            0.003859
547.226071           0.003408
547.234631           0.003447
547.243192           0.003288
547.251752           0.003103
547.260312           0.003051
547.268873           0.00272
547.277433           0.002548
547.285994           0.002516
547.294554           0.002425
547.303114           0.002269
547.311675           0.002165
547.320235           0.002032
547.328795           0.002045
547.337356           0.002042
547.345916           0.001932
547.354476           0.001948
547.363037           0.001903
547.371597           0.001627
547.380157           0.001809
547.388718           0.001763
547.397278           0.001546
547.405838           0.0015
547.414398           0.001539
547.422958           0.001507
547.431519           0.001442
547.440079           0.001358
547.448639           0.001361
547.457199           0.001309
547.465759           0.001202
547.47432            0.001108
547.48288            0.001199
547.49144            0.001192
547.5                0.001163
