# 
# Spectrum #00014	10:05:38 AM 5/15/2026
# Narrow scan: start 655.28nm, end 657.77nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
655.28               0.0285
655.304906           0.026621
655.329811           0.025567
655.354716           0.028646
655.379622           0.02509
655.404527           0.026848
655.429432           0.027942
655.454337           0.027497
655.479241           0.02447
655.504146           0.027436
655.529051           0.026254
655.553955           0.025339
655.578859           0.026316
655.603764           0.028153
655.628668           0.027406
655.653572           0.022075
655.678476           0.028467
655.703379           0.024587
655.728283           0.025859
655.753187           0.027199
655.77809            0.026813
655.802993           0.028159
655.827896           0.027348
655.8528             0.026524
655.877703           0.025502
655.902605           0.027234
655.927508           0.027841
655.952411           0.027598
655.977313           0.026459
656.002216           0.0296
656.027118           0.028633
656.05202            0.028811
656.076922           0.028107
656.101824           0.02629
656.126726           0.030132
656.151628           0.026715
656.17653            0.027218
656.201431           0.03081
656.226332           0.032884
656.251234           0.030382
656.276135           0.029029
656.301036           0.031066
656.325937           0.030314
656.350838           0.032102
656.375739           0.031235
656.400639           0.034097
656.42554            0.032575
656.45044            0.033335
656.47534            0.039856
656.500241           0.041291
656.525141           0.035982
656.550041           0.041459
656.57494            0.041459
656.59984            0.044321
656.62474            0.052884
656.649639           0.063108
656.674539           0.110725
656.699438           0.252066
656.724337           0.573904
656.749236           1.067992
656.774135           1.716848
656.799034           2.321433
656.823933           2.587246
656.848831           2.400696
656.87373            2.019619
656.898628           1.632731
656.923526           1.041031
656.948424           0.746732
656.973322           0.477814
656.99822            0.250863
657.023118           0.116384
657.048016           0.053186
657.072913           0.037942
657.097811           0.032725
657.122708           0.034133
657.147605           0.026712
657.172503           0.029019
657.1974             0.029389
657.222297           0.030294
657.247193           0.028046
657.27209            0.027841
657.296987           0.027166
657.321883           0.030885
657.346779           0.02826
657.371676           0.027114
657.396572           0.029392
657.421468           0.028733
657.446364           0.030573
657.471259           0.023535
657.496155           0.025631
657.521051           0.028218
657.545946           0.030758
657.570841           0.028519
657.595737           0.02509
657.620632           0.024999
657.645527           0.026783
657.670422           0.025911
657.695316           0.027361
657.720211           0.025664
657.745106           0.026287
657.77               0.026251
