# 
# Spectrum #00023	10:57:24 AM 5/15/2026
# Narrow scan: start 776.82nm, end 779.32nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
776.82               0.009392
776.844045           0.009648
776.868091           0.009791
776.892136           0.010031
776.91618            0.010053
776.940225           0.010144
776.96427            0.010209
776.988314           0.010456
777.012359           0.010553
777.036403           0.01065
777.060447           0.010693
777.084491           0.010809
777.108535           0.01093
777.132579           0.011037
777.156622           0.011277
777.180666           0.01175
777.204709           0.012192
777.228752           0.012614
777.252795           0.012805
777.276838           0.013084
777.300881           0.013506
777.324924           0.013999
777.348966           0.014489
777.373009           0.01555
777.397051           0.016819
777.421093           0.019191
777.445135           0.027951
777.469177           0.060224
777.493219           0.16816
777.51726            0.360496
777.541302           0.700086
777.565343           1.300024
777.589384           2.037377
777.613425           2.548017
777.637466           2.64133
777.661507           2.342566
777.685548           1.799404
777.709588           1.246618
777.733629           0.921446
777.757669           0.875247
777.781709           1.072093
777.805749           1.445583
777.829789           1.862239
777.853829           2.099018
777.877868           2.054224
777.901908           1.895699
777.925947           1.747579
777.949986           1.659283
777.974025           1.553053
777.998064           1.319032
778.022103           0.99258
778.046142           0.686286
778.07018            0.43361
778.094219           0.256414
778.118257           0.149931
778.142295           0.089449
778.166333           0.055915
778.190371           0.037728
778.214409           0.02787
778.238446           0.022254
778.262484           0.019015
778.286521           0.0169
778.310558           0.015391
778.334595           0.014275
778.358632           0.013305
778.382669           0.012451
778.406706           0.011686
778.430742           0.011303
778.454779           0.010904
778.478815           0.010621
778.502851           0.01044
778.526887           0.010125
778.550923           0.009894
778.574959           0.009833
778.598994           0.009716
778.62303            0.00957
778.647065           0.009411
778.6711             0.009278
778.695135           0.009174
778.71917            0.009087
778.743205           0.008889
778.76724            0.008953
778.791274           0.00882
778.815309           0.008915
778.839343           0.008911
778.863377           0.009031
778.887411           0.008911
778.911445           0.008856
778.935479           0.008876
778.959512           0.008876
778.983546           0.008898
779.007579           0.008898
779.031612           0.008921
779.055645           0.008814
779.079678           0.008957
779.103711           0.008911
779.127744           0.008889
779.151776           0.00894
779.175808           0.008892
779.199841           0.008811
779.223873           0.008736
779.247905           0.008717
779.271937           0.008597
779.295968           0.008506
779.32               0.008311
