# 
# Spectrum #00020	10:45:17 AM 5/15/2026
# Narrow scan: start 819.69nm, end 822.19nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
819.69               1.446842
819.713592           1.442238
819.737184           1.448552
819.760776           1.447044
819.784368           1.464714
819.80796            1.461415
819.831552           1.472275
819.855143           1.448964
819.878734           1.441982
819.902326           1.41886
819.925917           1.415323
819.949507           1.426323
819.973098           1.444522
819.996689           1.449578
820.020279           1.456917
820.04387            1.42177
820.06746            1.445713
820.09105            1.447566
820.11464            1.446713
820.138229           1.476383
820.161819           1.439042
820.185409           1.463666
820.208998           1.451012
820.232587           1.450782
820.256176           1.461239
820.279765           1.452595
820.303354           1.460126
820.326942           1.473709
820.350531           1.458919
820.374119           1.485932
820.397707           1.504385
820.421296           1.508824
820.444883           1.505167
820.468471           1.49358
820.492059           1.537631
820.515646           1.579592
820.539234           1.603674
820.562821           1.68844
820.586408           1.902792
820.609995           2.316764
820.633582           3.047611
820.657169           4.03508
820.680755           5.133118
820.704341           6.250481
820.727928           6.817593
820.751514           7.174006
820.7751             7.128077
820.798686           6.776683
820.822271           6.086472
820.845857           5.27528
820.869442           4.319493
820.893027           3.478528
820.916613           2.837874
820.940198           2.334061
820.963782           2.01163
820.987367           1.787551
821.010952           1.655039
821.034536           1.57159
821.05812            1.577778
821.081704           1.551745
821.105288           1.532312
821.128872           1.521825
821.152456           1.508733
821.17604            1.504391
821.199623           1.476542
821.223206           1.476029
821.246789           1.492541
821.270372           1.497967
821.293955           1.485731
821.317538           1.497026
821.341121           1.486886
821.364703           1.466859
821.388285           1.426754
821.411868           1.447349
821.43545            1.437861
821.459031           1.435901
821.482613           1.448121
821.506195           1.44546
821.529776           1.440681
821.553358           1.480244
821.576939           1.46293
821.60052            1.463728
821.624101           1.481097
821.647681           1.487502
821.671262           1.499583
821.694843           1.501565
821.718423           1.505582
821.742003           1.466911
821.765583           1.500043
821.789163           1.492512
821.812743           1.485397
821.836322           1.459997
821.859902           1.442056
821.883481           1.440927
821.90706            1.460036
821.93064            1.470253
821.954218           1.462158
821.977797           1.489959
822.001376           1.547459
822.024954           1.56793
822.048533           1.533779
822.072111           1.528542
822.095689           1.534256
822.119267           1.529535
822.142845           1.49639
822.166422           1.484446
822.19               1.455402
