"quantity","value"
"s_full_fit","0.0002715531707280023"
"mpme_full_fit","1841.2600326468603"
"rss_full_fit","0.07642478492385421"
"n_data","106"
"n_parameters","25"
"dof","81"
"sigma2_hat","0.0009435158632574594"
"s_profile_best","0.0002715531707280023"
"mpme_profile_best","1841.2600326468603"
"rss_profile_min","0.07642478492385409"
"s_low_1sigma","0.0002713211243373692"
"s_high_1sigma","0.00027178190407581667"
"mpme_lower_1sigma","1839.7104167042678"
"mpme_upper_1sigma","1842.834763497015"
"mpme_err_minus_1sigma","1.5496159425924816"
"mpme_err_plus_1sigma","1.574730850154765"
"s_low_2sigma","0.00027062498516546984"
"s_high_2sigma","0.0002724681041192598"
"mpme_lower_2sigma","1835.0771794600555"
"mpme_upper_2sigma","1847.5751590130603"
"mpme_err_minus_2sigma","6.182853186804778"
"mpme_err_plus_2sigma","6.315126366200047"
