"candidate","species","apparent_nm","note"
"H alpha","H",656.279,"Balmer hydrogen"
"H beta","H",486.133,"Balmer hydrogen"
"H gamma","H",434.047,"Balmer hydrogen"
"H delta","H",410.174,"Balmer hydrogen"
"H epsilon","H",397.007,"Balmer hydrogen"
"H zeta","H",388.906,"Balmer hydrogen"
"D alpha","D",656.1002747821351,"Approx deuterium Balmer"
"D beta","D",486.00061083877995,"Approx deuterium Balmer"
"D gamma","D",433.92879547930283,"Approx deuterium Balmer"
"D delta","D",410.0622968409586,"Approx deuterium Balmer"
"D epsilon","D",396.89888262527234,"Approx deuterium Balmer"
"D zeta","D",388.8000887799564,"Approx deuterium Balmer"
"O I 777.194 first order alias","O I",388.34970134410105,"First order oxygen line after second order conversion"
"O I 777.417 first order alias","O I",388.46100890230906,"First order oxygen line after second order conversion"
"O I 777.539 first order alias","O I",388.52190362025243,"First order oxygen line after second order conversion"
