"pipeline","line","lambdaH_corr_nm","delta_corr_nm","sigma_nm","source"
"Gaussian with local H alpha","H delta",410.128,0.109092,0.000993753,"Gaussian peaks, local H alpha"
"Gaussian with local H alpha","H gamma",433.956,0.111546,0.00069884,"Gaussian peaks, local H alpha"
"Gaussian with local H alpha","H beta",485.912,0.133285,0.000370454,"Gaussian peaks, local H alpha"
"Gaussian with local H alpha","H alpha",655.693,0.177256,0.000661286,"Gaussian peaks, local H alpha"
"Empirical response without H alpha","H delta",410.126,0.104621,,"Empirical Hg response"
"Empirical response without H alpha","H gamma",433.954,0.109423,,"Empirical Hg response"
"Empirical response without H alpha","H beta",485.909,0.129246,,"Empirical Hg response"
"Empirical response with local H alpha","H delta",410.126,0.104621,,"Empirical Hg response"
"Empirical response with local H alpha","H gamma",433.954,0.109423,,"Empirical Hg response"
"Empirical response with local H alpha","H beta",485.909,0.129246,,"Empirical Hg response"
"Empirical response with local H alpha","H alpha",655.693,0.177704,,"Empirical Hg response, local H alpha"
