# 
# Spectrum #00033	11:14:35 AM 5/15/2026
# Narrow scan: start 971.39nm, end 973.89nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 100um, exit 100um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
971.39               0.045506
971.411939           0.044879
971.433878           0.044795
971.455817           0.04438
971.477756           0.043886
971.499695           0.043848
971.521633           0.04399
971.543571           0.044428
971.565509           0.04327
971.587447           0.042689
971.609385           0.043536
971.631322           0.043075
971.65326            0.043088
971.675197           0.042138
971.697134           0.041667
971.719071           0.042527
971.741008           0.041897
971.762944           0.042725
971.784881           0.042864
971.806817           0.043059
971.828753           0.04426
971.850689           0.044668
971.872625           0.045025
971.89456            0.045204
971.916496           0.044941
971.938431           0.045616
971.960366           0.045408
971.982301           0.045447
972.004236           0.044996
972.02617            0.044928
972.048105           0.044899
972.070039           0.045058
972.091973           0.044681
972.113907           0.04524
972.135841           0.045051
972.157774           0.047495
972.179708           0.052015
972.201641           0.05817
972.223574           0.070214
972.245507           0.089745
972.26744            0.117893
972.289372           0.153446
972.311305           0.194417
972.333237           0.233231
972.355169           0.262917
972.377101           0.279371
972.399033           0.28172
972.420964           0.265435
972.442896           0.236417
972.464827           0.203678
972.486758           0.169705
972.508689           0.141904
972.53062            0.124103
972.55255            0.118058
972.574481           0.121358
972.596411           0.129928
972.618341           0.137825
972.640271           0.143672
972.6622             0.143387
972.68413            0.138121
972.706059           0.127614
972.727989           0.112377
972.749918           0.097188
972.771847           0.082681
972.793775           0.070578
972.815704           0.061395
972.837632           0.055042
972.859561           0.05107
972.881489           0.048056
972.903417           0.046142
972.925344           0.044568
972.947272           0.044302
972.969199           0.043873
972.991127           0.043588
973.013054           0.044045
973.034981           0.044568
973.056907           0.045214
973.078834           0.04594
973.10076            0.045729
973.122687           0.045246
973.144613           0.045551
973.166539           0.04558
973.188464           0.04436
973.21039            0.044785
973.232315           0.044279
973.254241           0.043873
973.276166           0.043783
973.298091           0.043825
973.320015           0.044065
973.34194            0.043935
973.363864           0.043565
973.385788           0.044032
973.407713           0.043981
973.429636           0.043753
973.45156            0.043513
973.473484           0.044211
973.495407           0.044753
973.51733            0.046187
973.539254           0.046778
973.561176           0.048387
973.583099           0.049085
973.605022           0.049649
973.626944           0.049987
973.648866           0.049905
973.670788           0.050039
973.69271            0.04924
973.714632           0.049299
973.736554           0.04912
973.758475           0.047472
973.780396           0.046664
973.802317           0.045697
973.824238           0.045051
973.846159           0.04472
973.86808            0.043835
973.89               0.042877
