# 
# Spectrum #00024	11:03:12 AM 5/15/2026
# Narrow scan: start 867.5nm, end 869.99nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 50um, exit 50um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
867.5                0.234957
867.523064           0.232432
867.546127           0.234759
867.56919            0.238033
867.592253           0.236508
867.615316           0.230609
867.638379           0.23423
867.661441           0.232802
867.684504           0.23656
867.707566           0.234934
867.730628           0.238555
867.75369            0.23251
867.776752           0.230031
867.799814           0.232325
867.822876           0.230242
867.845937           0.231855
867.868998           0.230301
867.89206            0.235181
867.915121           0.238169
867.938181           0.237277
867.961242           0.231764
867.984303           0.236913
868.007363           0.239422
868.030423           0.235839
868.053483           0.233416
868.076543           0.242686
868.099603           0.23997
868.122663           0.243938
868.145722           0.251615
868.168782           0.26267
868.191841           0.285481
868.2149             0.316627
868.237959           0.35134
868.261018           0.409288
868.284076           0.493645
868.307135           0.583005
868.330193           0.630456
868.353251           0.62886
868.376309           0.576623
868.399367           0.491766
868.422425           0.41151
868.445482           0.359857
868.46854            0.347495
868.491597           0.35036
868.514654           0.382616
868.537711           0.413298
868.560768           0.42933
868.583824           0.417484
868.606881           0.389599
868.629937           0.346138
868.652994           0.30797
868.67605            0.2793
868.699106           0.262842
868.722161           0.254244
868.745217           0.247245
868.768273           0.243306
868.791328           0.240771
868.814383           0.239506
868.837438           0.237644
868.860493           0.23839
868.883548           0.240265
868.906602           0.236411
868.929657           0.232004
868.952711           0.234603
868.975765           0.234817
868.998819           0.236969
869.021873           0.238195
869.044927           0.235246
869.06798            0.231313
869.091034           0.231641
869.114087           0.227328
869.13714            0.231709
869.160193           0.233383
869.183246           0.233481
869.206298           0.241051
869.229351           0.235807
869.252403           0.24083
869.275455           0.244357
869.298508           0.239999
869.321559           0.235288
869.344611           0.240862
869.367663           0.239418
869.390714           0.237562
869.413766           0.235431
869.436817           0.231193
869.459868           0.231339
869.482919           0.236067
869.505969           0.23644
869.52902            0.236875
869.55207            0.238575
869.575121           0.24316
869.598171           0.234454
869.621221           0.233464
869.644271           0.231784
869.66732            0.233701
869.69037            0.234908
869.713419           0.232611
869.736468           0.231599
869.759517           0.240165
869.782566           0.239824
869.805615           0.238591
869.828664           0.238338
869.851712           0.235447
869.874761           0.233708
869.897809           0.238429
869.920857           0.237838
869.943905           0.233107
869.966952           0.236018
869.99               0.237984
