# 
# Spectrum #00007	8:41:15 AM 5/15/2026
# Narrow scan: start 545nm, end 547.5nm
# Monochromator settings: Grating: 1200 lines/mm; Slits: entrance 20um, exit 20um.
# DAQ device: PCI-6221; ADC bits: 16; Settling time: 10ms
# ADC input range: 10V max, -10V min. Sampling: 100 samples at 6.0006k/second.
# Wavelength (nm)    Signal (V)
545                  0.001007
545.008563           0.000871
545.017126           0.000725
545.025689           0.00089
545.034253           0.000679
545.042816           0.000877
545.051379           0.000926
545.059942           0.000942
545.068505           0.000838
545.077068           0.001053
545.085631           0.000855
545.094194           0.000754
545.102757           0.000936
545.11132            0.000744
545.119883           0.000919
545.128446           0.000647
545.137009           0.00076
545.145572           0.000952
545.154135           0.000842
545.162698           0.000906
545.171261           0.000965
545.179824           0.000962
545.188387           0.00104
545.19695            0.000692
545.205513           0.000965
545.214076           0.000819
545.222639           0.00079
545.231202           0.000773
545.239764           0.000962
545.248327           0.000741
545.25689            0.00079
545.265453           0.001069
545.274016           0.000897
545.282579           0.000806
545.291141           0.000653
545.299704           0.00091
545.308267           0.000906
545.31683            0.000877
545.325393           0.000978
545.333955           0.00089
545.342518           0.000887
545.351081           0.001043
545.359644           0.000955
545.368206           0.0009
545.376769           0.001228
545.385332           0.000897
545.393894           0.000871
545.402457           0.001001
545.41102            0.000812
545.419582           0.001085
545.428145           0.001195
545.436708           0.001173
545.44527            0.00114
545.453833           0.000793
545.462396           0.000855
545.470958           0.000855
545.479521           0.001072
545.488083           0.001007
545.496646           0.00113
545.505208           0.00113
545.513771           0.001033
545.522334           0.001212
545.530896           0.000975
545.539459           0.001114
545.548021           0.000851
545.556584           0.000887
545.565146           0.001263
545.573708           0.001312
545.582271           0.001202
545.590833           0.000988
545.599396           0.001072
545.607958           0.001192
545.616521           0.000903
545.625083           0.000913
545.633645           0.00101
545.642208           0.001289
545.65077            0.001205
545.659333           0.001101
545.667895           0.000913
545.676457           0.000887
545.68502            0.00104
545.693582           0.001062
545.702144           0.001043
545.710707           0.001296
545.719269           0.001247
545.727831           0.001202
545.736393           0.001082
545.744956           0.001221
545.753518           0.001244
545.76208            0.001046
545.770642           0.001361
545.779205           0.001319
545.787767           0.001315
545.796329           0.000958
545.804891           0.001312
545.813453           0.001461
545.822016           0.001348
545.830578           0.001224
545.83914            0.001374
545.847702           0.001416
545.856264           0.001354
545.864826           0.001439
545.873388           0.001169
545.881951           0.001536
545.890513           0.001504
545.899075           0.001426
545.907637           0.001432
545.916199           0.001478
545.924761           0.001526
545.933323           0.001448
545.941885           0.001338
545.950447           0.001591
545.959009           0.001568
545.967571           0.001637
545.976133           0.001724
545.984695           0.001504
545.993257           0.001633
546.001819           0.001455
546.010381           0.001854
546.018943           0.00176
546.027505           0.001653
546.036066           0.001474
546.044628           0.001851
546.05319            0.001825
546.061752           0.001805
546.070314           0.001718
546.078876           0.001753
546.087438           0.001971
546.096              0.001812
546.104561           0.001773
546.113123           0.001873
546.121685           0.002195
546.130247           0.002101
546.138809           0.002224
546.14737            0.002188
546.155932           0.002273
546.164494           0.002419
546.173056           0.002412
546.181617           0.002347
546.190179           0.002737
546.198741           0.00236
546.207302           0.002659
546.215864           0.002409
546.224426           0.002775
546.232988           0.002886
546.241549           0.002931
546.250111           0.002837
546.258672           0.002957
546.267234           0.003009
546.275796           0.003113
546.284357           0.002934
546.292919           0.003301
546.301481           0.003317
546.310042           0.003223
546.318604           0.003616
546.327165           0.003515
546.335727           0.003285
546.344288           0.003671
546.35285            0.004447
546.361411           0.004492
546.369973           0.004784
546.378534           0.00555
546.387096           0.005949
546.395657           0.007399
546.404219           0.007646
546.41278            0.007484
546.421342           0.008227
546.429903           0.008308
546.438465           0.00858
546.447026           0.008256
546.455587           0.008236
546.464149           0.008558
546.47271            0.009505
546.481271           0.009817
546.489833           0.011325
546.498394           0.012367
546.506955           0.012234
546.515517           0.014275
546.524078           0.015602
546.532639           0.019236
546.541201           0.024817
546.549762           0.031988
546.558323           0.053069
546.566885           0.09295
546.575446           0.168852
546.584007           0.28248
546.592568           0.485562
546.60113            0.736128
546.609691           0.994164
546.618252           1.27622
546.626813           1.427205
546.635374           1.693083
546.643935           1.707195
546.652497           1.870179
546.661058           1.947887
546.669619           2.045697
546.67818            2.115138
546.686741           2.120547
546.695302           2.098564
546.703863           2.029785
546.712424           1.946664
546.720986           1.803869
546.729547           1.650869
546.738108           1.530424
546.746669           1.381039
546.75523            1.232789
546.763791           1.099304
546.772352           0.966175
546.780913           0.958251
546.789474           0.768985
546.798035           0.681879
546.806596           0.535019
546.815157           0.448864
546.823718           0.361833
546.832279           0.267635
546.84084            0.205699
546.8494             0.149182
546.857961           0.101948
546.866522           0.065977
546.875083           0.042267
546.883644           0.032874
546.892205           0.026144
546.900766           0.02385
546.909327           0.021806
546.917887           0.021095
546.926448           0.019687
546.935009           0.018156
546.94357            0.016627
546.952131           0.015722
546.960691           0.015057
546.969252           0.014083
546.977813           0.013392
546.986374           0.013152
546.994935           0.012786
547.003495           0.012335
547.012056           0.011919
547.020617           0.010774
547.029177           0.010414
547.037738           0.009917
547.046299           0.009401
547.054859           0.009359
547.06342            0.008483
547.071981           0.008055
547.080541           0.007902
547.089102           0.007574
547.097663           0.007085
547.106223           0.007224
547.114784           0.006588
547.123344           0.00663
547.131905           0.00653
547.140466           0.006079
547.149026           0.005757
547.157587           0.005297
547.166147           0.005254
547.174708           0.004943
547.183268           0.00469
547.191829           0.004505
547.200389           0.004258
547.20895            0.003817
547.21751            0.004281
547.226071           0.004116
547.234631           0.003788
547.243192           0.003347
547.251752           0.003814
547.260312           0.003467
547.268873           0.003119
547.277433           0.002756
547.285994           0.00285
547.294554           0.002649
547.303114           0.002509
547.311675           0.002542
547.320235           0.002266
547.328795           0.002483
547.337356           0.002428
547.345916           0.002409
547.354476           0.002127
547.363037           0.002279
547.371597           0.001935
547.380157           0.002071
547.388718           0.002188
547.397278           0.002036
547.405838           0.002136
547.414398           0.001925
547.422958           0.001847
547.431519           0.001724
547.440079           0.001419
547.448639           0.001727
547.457199           0.001507
547.465759           0.001611
547.47432            0.001426
547.48288            0.001643
547.49144            0.001572
547.5                0.001588
